2026-05-12 16:20:50 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:20:51 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:20:51 [INFO    ] main                   Leverage set: ETH_USDT x 10
2026-05-12 16:20:52 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:20:53 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:20:53 [INFO    ] main                   Leverage set: XAUT_USDT x 10
2026-05-12 16:20:54 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:20:57 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:20:57 [INFO    ] main                   Leverage set: SILVER_USDT x 10
2026-05-12 16:20:58 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:20:59 [ERROR   ] mexc_client          POST /api/v1/private/position/change_leverage failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/position/change_leverage
2026-05-12 16:20:59 [INFO    ] main                   Leverage set: USOIL_USDT x 10
2026-05-12 16:20:59 [INFO    ] main                 Initializing AI models...
2026-05-12 16:21:00 [INFO    ] mexc_client          WebSocket connected
2026-05-12 16:21:00 [INFO    ] mexc_client          WebSocket ready
2026-05-12 16:21:00 [INFO    ] main                 [OK] WebSocket live feed active
2026-05-12 16:21:00 [INFO    ] mexc_client          Subscribed to BTC_USDT
2026-05-12 16:21:00 [INFO    ] mexc_client          Subscribed to ETH_USDT
2026-05-12 16:21:00 [INFO    ] mexc_client          Subscribed to XAUT_USDT
2026-05-12 16:21:00 [INFO    ] mexc_client          Subscribed to SILVER_USDT
2026-05-12 16:21:00 [INFO    ] mexc_client          Subscribed to USOIL_USDT
2026-05-12 16:21:01 [ERROR   ] mexc_client          GET /api/v1/private/account/assets failed: 401 Client Error: Unauthorized for url: https://contract.mexc.com/api/v1/private/account/assets
